ID,Smiles,IUPAC,hP2Y1Ki_nM,SEM_hP2Y1Ki_nM,MW,clogP,exp_DG_kcal_mol,RBFE_calc_DG_kcal_mol,RBFE_calc_dDG_kcal_mol,RBFE_diff_DG
6e,Clc1cc(NC(=O)Nc2c(Oc3cc(C(F)(F)F)ccc3)nccc2)ccc1,1-(3-Chlorophenyl)-3-(2-(3-(trifluoromethyl)phenoxy)pyridin-3-yl)urea,128,45.0,407.064838996,6.190100000000001,-9.403466986489367,-9.532242405140426,0.07046410231147417,0.12877541865105968
14,O=C(Nc1c(Nc2c(C(C)(C)C)cccc2)nccc1)Nc1ccc(C)cc1,1-(2-(2-tert-Butylphenylamino)pyridin-3-yl)-3-p-tolylurea,175,40.0,374.210661452,6.075120000000004,-9.218163959492786,-9.982607708048818,0.10407779819996783,0.7644437485560314
1,FC(F)(F)c1cc(Oc2c(NC(=O)Nc3c(F)cc(F)cc3)cccn2)ccc1,"1-(2,4-Difluorophenyl)-3-(2-(3-(trifluoromethyl)phenoxy)pyridin-3-yl)urea",75,5.0,409.08496772399997,5.814900000000001,-9.72017512435855,-8.901259488826593,0.12555455229812656,0.8189156355319565
11f,FC(F)(F)c1c(Oc2c(NC(=O)Nc3c(F)cc(F)cc3)cccn2)cccc1,"1-(2,4-Difluorophenyl)-3-(2-(2-(trifluoromethyl)phenoxy)pyridin-3-yl)urea",172,71.0,409.08496772399997,5.814900000000001,-9.228408909955103,-9.246423506064238,0.09331266512853158,0.018014596109134473
16,FC(F)(F)Oc1ccc(NC(=O)Nc2c(Oc3c(C(C)(C)C)cccc3)nccc2)cc1,1-(2-(2-tert-Butylphenoxy)pyridin-3-yl)-3-(4-(trifluoromethoxy)phenyl)urea,6,0.6,445.16132622399994,6.714000000000003,-11.216631138403697,-14.152942547865859,0.12242778532329496,2.936311409462162
17,O=C(Nc1c(Oc2c(C(C)(C)C)cccc2)nccc1)Nc1ccc(C(C)(C)C)cc1,1-(2-(2-tert-Butylphenoxy)pyridin-3-yl)-3-(4-tert-butylphenyl)urea,8,0.4,417.241627232,7.112900000000005,-11.0461838623578,-14.035256151810197,0.13939881044953378,2.9890722894523964
19,FC(F)(F)Oc1ccc(NC(=O)Nc2c(Oc3c(C(C)C)cccc3)nccc2)cc1,1-(2-(2-Isopropylphenoxy)pyridin-3-yl)-3-(4-(trifluoromethoxy)phenyl)urea,16,2.0,431.14567615999994,6.539900000000002,-10.635504643390691,-13.073679897279884,0.11517697804361836,2.4381752538891934
6o,FC(F)(F)c1cc(Oc2c(NC(=O)Nc3ccc(C(=O)OC)cc3)cccn2)ccc1,Methyl 4-(3-(2-(3-(Trifluoromethyl)phenoxy)pyridin-3-yl)ureido)benzoate,644,296.0,431.1092906519999,5.3233000000000015,-8.446207863508006,-6.177348972387936,0.1192608927082396,2.26885889112007
12,O=C(Nc1c(Oc2c(C(C)(C)C)cccc2)nccc1)Nc1ccc(C)cc1,1-(2-(2-tert-Butylphenoxy)pyridin-3-yl)-3-p-tolylurea,7,0.1,375.19467704,6.123820000000004,-11.125299192505041,-12.258230588351962,0.0986992030983799,1.1329313958469207
6n,FC(F)(F)c1cc(Oc2c(NC(=O)Nc3ccc(C#N)cc3)cccn2)ccc1,1-(4-Cyanophenyl)-3-(2-(3-(trifluoromethyl)phenoxy)pyridin-3-yl)urea,571,150.0,398.099060316,5.408380000000001,-8.51748943203347,-7.317014944816176,0.07728827576733345,1.2004744872172939
11c,Fc1c(NC(=O)Nc2c(Oc3cc(C(C)(C)C)ccc3)nccc2)ccc(F)c1,"1-(2-(3-tert-Butylphenoxy)pyridin-3-yl)-3-(2,4-difluorophenyl)urea",33,7.0,397.160183352,6.093600000000002,-10.20659368215872,-10.330517131230945,0.17993115020356829,0.1239234490722243
6b,FC(F)(F)c1cc(Oc2c(NC(=O)Nc3c(F)cccc3)cccn2)ccc1,1-(2-Fluorophenyl)-3-(2-(3-(trifluoromethyl)phenoxy)pyridin-3-yl)urea,47,27.0,391.094389536,5.675800000000001,-9.997067307968745,-7.771520991828521,0.1284899806583356,2.225546316140224
